1,玄関 / 265K / 1F,2850,2100,500,JIKUGUMI / 265K / 1F,3161,JIKUGUMI 265K  1F-2F : 5361,5361,WAKUGUMI,300,2650 1F,2350,SOCKET,60,BUNDENBAN,160,SOCKET,60,TD,49,UNIT CLOSET/CV,2138,DOOR
2,玄関 / 265K / 2F,,,500,JIKUGUMI / 265K / 2F,2908,JIKUGUMI 240K  1F-2F : 4942,4942,JIKUKUGUMI,500,2600 1F,2300,SWITCH,60,"ZENRYOU BUNDENBAN
(RESIN TYPE)",160,SWITCH,60,TC,70,CWFD/SWFD,2108,DOOR
3,玄関 / 240K / 1F,2600,1850,500,JIKUGUMI / 240K / 1F,2842,JIKUGUMI 240K  2F-3F : 4916,4916,,,2500,2200,DENDOU MIZUNUKIZEN,60,"ZENRYOU BUNDENBAN
(STEEL TYPE/29.7-45.7kW)",500,DENDOU MIZUNUKIZEN,60,,,S33,2108,DOOR
4,玄関 / 240K / 2F,2600,,500,JIKUGUMI / 240K / 2F,2841,JIKUGUMI 240K  1F-3F : 7758,7758,,,2475,2175,ZENPANN,60,"ZENRYOU BUNDENBAN
(STEEL TYPE/47.6-49.5kW)",700,ZENPANN,60,,,SS33,2108,DOOR
5,玄関 / 240K / 3F,,,,JIKUGUMI / 240K / 3F,2739,WAKUGUMI 240+K  1F-2F : 4837,4837,,,2400 (240),2100,HAISEN,60,JB-DA,185,BUNDENBAN,160,,,SLIT SLIDER,2108,DOOR
6,玄関 / 260K / 1F,2597,2050,500,WAKUGUMI / 240+K / 1F,2737,WAKUGUMI 240+K  2F-2F : 4850,4850,,,2400 (265),2250,HAIKAN,60,,,ZENRYOU BUNDENBAN (RESIN TYPE),160,,,S33E,2108,DOOR
7,玄関 / 260K / 2F,,,,WAKUGUMI / 240+K / 2F,2775,WAKUGUMI 260+K  1F-2F : 5070,5070,,,,,HAISEN/HAIKAN,60,,,ZENRYOU BUNDENBAN (RESIN TYPE) BELOW BUNDENBAN W/ REQUESTED HEIGHT  (HALFSIZE+50MM=210),210,,,S-TAREKABE(3) WESTERN,2108,DOOR
8,玄関ホール/ホール / 265K / 1F,2650,2100,500,WAKUGUMI / 240+K / 3F,2739,,,,,,,YR/YRD,60,,,ZENRYOU BUNDENBAN (RESIN TYPE) BELOW BUNDENBAN,160,,,TAREKABE(3) WESTERN,2108,DOOR
9,玄関ホール/ホール / 265K / 2F,2500,1950,500,WAKUGUMI / 260+K / 1F,2972,,,,,,,CV/CVD,60,,,ZENRYOU BUNDENBAN (STEEL TYPE/29.7-45.7kW),500,,,S/C300X2,2108,DOOR
10,玄関ホール/ホール / 240K / 1F,2400,1850,500,,,,,,,,,MR,60,,,ZENRYOU BUNDENBAN (STEEL TYPE/47.6-49.5kW),700,,,S/C300X3X4,2108,DOOR
11,玄関ホール/ホール / 240K / 2F,2400,1850,500,,,,,,,,,SR,60,,,JB-DA,185,,,S/C300,2108,DOOR
12,玄関ホール/ホール / 240K / 3F,2375,1850,650,,,,,,,,,KEI REMOTE,44.5,,,HAISEN,60,,,S/C33,2108,DOOR
13,玄関ホール/ホール / 260K / 1F,2597,2050,500,,,,,,,,,PVR LAN,60,,,HAIKAN,60,,,S/C311,2108,DOOR
14,玄関ホール/ホール / 260K / 2F,2400,1850,500,,,,,,,,,INTERPHONE,60,,,HAISEN/HAIKAN,60,,,SLIT WALL,2108,DOOR
15,LDK / 265K / 1F,2650,2100,500,,,,,,,,,増設 INTERPHONE,60,,,YR/YRD,60,,,IWF1545,2108,DOOR
16,LDK / 265K / 2F,2500,1950,500,,,,,,,,,スピーカ HAISEN,60,,,CV/CVD,60,,,IUB DOOR,2040,DOOR
17,LDK / 240K / 1F,2400,1850,500,,,,,,,,,WML,,,,MR,60,,,SHOWER ROOM,2128,DOOR
18,LDK / 240K / 2F,2400,1850,500,,,,,,,,,,,,,SR,60,,,RIMOKON NICHE(..06),2171,DOOR
19,LDK / 240K / 3F,2375,1850,650,,,,,,,,,,,,,KEI REMOTE,44.5,,,RIMOKON NICHE(..10),2076,DOOR
20,LDK / 260K / 1F,2597,2050,500,,,,,,,,,,,,,PVR LAN,60,,,HB,1800,DOOR
21,LDK / 260K – 2F,2400,1850,500,,,,,,,,,,,,,INTERPHONE,60,,,HB (LARGE)….10,2011,DOOR
22,ユーティリティー / 265K / 1F,2650,2100,500,,,,,,,,,,,,,増設 INTERPHONE,60,,,HB (LARGE)…06,2040,DOOR
23,ユーティリティー / 265K / 2F,2500,1950,500,,,,,,,,,,,,,スピーカ HAISEN,60,,,S/C33H,2353,DOOR
24,ユーティリティー / 240K / 1F,2400,1850,500,,,,,,,,,,,,,DOOR,0,,,NO.33B,2067,DOOR
25,ユーティリティー / 240K / 2F,2400,1850,500,,,,,,,,,,,,,FREE COUNTER,0,,,S33B,2108,DOOR
26,ユーティリティー / 240K / 3F,2375,1850,650,,,,,,,,,,,,,CEILING/LOWERED CEILING,0,,,S400,2108,DOOR
27,ユーティリティー / 260K / 1F,2597,2050,500,,,,,,,,,,,,,,,,,JF1045,1364,WINDOW
28,ユーティリティー / 260K / 2F,2400,1850,500,,,,,,,,,,,,,,,,,JF1061,1902,WINDOW
29,洋室 / 265K / 1F,2650,2100,500,,,,,,,,,,,,,,,,,JF1545,1365,WINDOW
30,洋室 / 265K / 2F,2500,1950,500,,,,,,,,,,,,,,,,,JF1560,1831,WINDOW
31,洋室 / 240K / 1F,2400,1850,500,,,,,,,,,,,,,,,,,JF1561,1902,WINDOW
32,洋室 / 240K / 2F,2400,1850,500,,,,,,,,,,,,,,,,,JF2020,606,WINDOW
33,洋室 / 240K / 3F,2375,1850,650,,,,,,,,,,,,,,,,,JF2020,606,WINDOW
34,洋室 / 260K / 1F,2597,2050,500,,,,,,,,,,,,,,,,,JF2030,909,WINDOW
35,洋室 / 260K / 2F,2400,1850,500,,,,,,,,,,,,,,,,,JF2045,1365,WINDOW
36,主寝室 / 265K / 1F,2650,2100,500,,,,,,,,,,,,,,,,,JF2061,1902,WINDOW
37,主寝室 / 265K / 2F,2500,1950,500,,,,,,,,,,,,,,,,,JF2445,1364,WINDOW
38,主寝室 / 240K / 1F,2400,1850,500,,,,,,,,,,,,,,,,,JF2460,1824,WINDOW
39,主寝室 / 240K / 2F,2400,1850,500,,,,,,,,,,,,,,,,,JF2461,1902,WINDOW
40,主寝室 / 240K / 3F,2375,1850,650,,,,,,,,,,,,,,,,,JF2525,757,WINDOW
41,主寝室 / 260K / 1F,2597,2050,500,,,,,,,,,,,,,,,,,JF2525,757,WINDOW
42,主寝室 / 260K / 2F,2400,1850,500,,,,,,,,,,,,,,,,,JF3066,2010,WINDOW
43,ﾌｧﾐﾘｰﾙｰﾑ / 265K / 1F,2650,2100,500,,,,,,,,,,,,,,,,,JF5960,1824,WINDOW
44,ﾌｧﾐﾘｰﾙｰﾑ / 265K / 2F,2500,1950,500,,,,,,,,,,,,,,,,,JF5961,1902,WINDOW
45,ﾌｧﾐﾘｰﾙｰﾑ / 240K / 1F,2400,1850,500,,,,,,,,,,,,,,,,,JK2020,605,WINDOW
46,ﾌｧﾐﾘｰﾙｰﾑ / 240K / 2F,2400,1850,500,,,,,,,,,,,,,,,,,JK2030,909,WINDOW
47,ﾌｧﾐﾘｰﾙｰﾑ / 240K / 3F,2375,1850,650,,,,,,,,,,,,,,,,,JK2030U,909,WINDOW
48,ﾌｧﾐﾘｰﾙｰﾑ / 260K / 1F,2597,2050,500,,,,,,,,,,,,,,,,,JK2030U,909,WINDOW
49,ﾌｧﾐﾘｰﾙｰﾑ / 260K / 2F,2400,1850,500,,,,,,,,,,,,,,,,,JK2042U,1178,WINDOW
50,真壁和室 / 265K / 1F,2600,2150,500,,,,,,,,,,,,,,,,,JK2042U,1178,WINDOW
51,真壁和室 / 265K / 2F,2475,2150,500,,,,,,,,,,,,,,,,,JK2045,1365,WINDOW
52,真壁和室 / 240K / 1F,2400,2150,500,,,,,,,,,,,,,,,,,JK2045U,1365,WINDOW
53,真壁和室 / 240K / 2F,2400,2150,500,,,,,,,,,,,,,,,,,JK2045U,1365,WINDOW
54,真壁和室 / 240K / 3F,2350,2150,650,,,,,,,,,,,,,,,,,JK2060,1825,WINDOW
55,真壁和室 / 260K / 1F,2597,2150,500,,,,,,,,,,,,,,,,,JK2061,1902,WINDOW
56,真壁和室 / 260K / 2F,2400,2150,500,,,,,,,,,,,,,,,,,JK2420,605,WINDOW
57,大壁和室 / 265K / 1F,2600,2100,500,,,,,,,,,,,,,,,,,JK2430,908,WINDOW
58,大壁和室 / 265K / 2F,2475,1950,500,,,,,,,,,,,,,,,,,JK2445,1364,WINDOW
59,大壁和室 / 240K / 1F,2400,1850,500,,,,,,,,,,,,,,,,,JK2460,1824,WINDOW
60,大壁和室 / 240K / 2F,2400,1850,500,,,,,,,,,,,,,,,,,JK2461,1902,WINDOW
61,大壁和室 / 240K / 3F,2350,1850,650,,,,,,,,,,,,,,,,,JK2545,1365,WINDOW
62,大壁和室 / 260K / 1F,2597,2050,500,,,,,,,,,,,,,,,,,JK2560,1825,WINDOW
63,大壁和室 / 260K / 2F,2400,1850,500,,,,,,,,,,,,,,,,,JK3020,606,WINDOW
64,ｳｫｰｸｲﾝｸﾛｰｾﾞｯﾄ / 265K / 1F,2400,1850,500,,,,,,,,,,,,,,,,,JK3020,606,WINDOW
65,ｳｫｰｸｲﾝｸﾛｰｾﾞｯﾄ / 265K / 2F,2400,1850,500,,,,,,,,,,,,,,,,,JK3030,909,WINDOW
66,ｳｫｰｸｲﾝｸﾛｰｾﾞｯﾄ / 240K / 1F,2400,1850,500,,,,,,,,,,,,,,,,,JK3045,1365,WINDOW
67,ｳｫｰｸｲﾝｸﾛｰｾﾞｯﾄ / 240K / 2F,2400,1850,500,,,,,,,,,,,,,,,,,JK3545,1365,WINDOW
68,ｳｫｰｸｲﾝｸﾛｰｾﾞｯﾄ / 240K / 3F,2375,1850,650,,,,,,,,,,,,,,,,,JK3560,1825,WINDOW
69,ｳｫｰｸｲﾝｸﾛｰｾﾞｯﾄ / 260K / 1F,2597,1850,500,,,,,,,,,,,,,,,,,J4415,469,WINDOW
70,ｳｫｰｸｲﾝｸﾛｰｾﾞｯﾄ / 260K / 2F,2400,1850,500,,,,,,,,,,,,,,,,,J4415,469,WINDOW
71,書斎 / 265K / 1F,2400,1850,500,,,,,,,,,,,,,,,,,J4420,605,WINDOW
72,書斎 / 265K / 2F,2400,1850,500,,,,,,,,,,,,,,,,,J4420,605,WINDOW
73,書斎 / 240K / 1F,2400,1850,500,,,,,,,,,,,,,,,,,J4430,908,WINDOW
74,書斎 / 240K / 2F,2400,1850,500,,,,,,,,,,,,,,,,,J4445,1364,WINDOW
75,書斎 / 240K / 3F,2375,1850,650,,,,,,,,,,,,,,,,,J4515,470,WINDOW
76,書斎 / 260K / 1F,2400,1850,500,,,,,,,,,,,,,,,,,J4515,470,WINDOW
77,書斎 / 260K / 2F,2400,1850,500,,,,,,,,,,,,,,,,,J4520,606,WINDOW
78,納戸 / 265K / 1F,2400,1850,500,,,,,,,,,,,,,,,,,J4520,606,WINDOW
79,納戸 / 265K / 2F,2400,1850,500,,,,,,,,,,,,,,,,,J4525,757,WINDOW
80,納戸 / 240K / 1F,2400,1850,500,,,,,,,,,,,,,,,,,J4525,757,WINDOW
81,納戸 / 240K / 2F,2400,1850,500,,,,,,,,,,,,,,,,,J4530,909,WINDOW
82,納戸 / 240K / 3F,2375,1850,650,,,,,,,,,,,,,,,,,J4542U,1262,WINDOW
83,納戸 / 260K / 1F,2400,1850,500,,,,,,,,,,,,,,,,,J4542U,1262,WINDOW
84,納戸 / 260K / 2F,2400,1850,500,,,,,,,,,,,,,,,,,J4545,1365,WINDOW
85,,,,,,,,,,,,,,,,,,,,,J4560,1831,WINDOW
86,,,,,,,,,,,,,,,,,,,,,J5515,470,WINDOW
87,,,,,,,,,,,,,,,,,,,,,J5545,1365,WINDOW
88,,,,,,,,,,,,,,,,,,,,,J5560,1830,WINDOW
89,,,,,,,,,,,,,,,,,,,,,J5561,1902,WINDOW
90,,,,,,,,,,,,,,,,,,,,,J5566,2001,WINDOW
91,,,,,,,,,,,,,,,,,,,,,J5566,2010,WINDOW
92,,,,,,,,,,,,,,,,,,,,,J5570,2138,WINDOW
93,,,,,,,,,,,,,,,,,,,,,J5571,2176,WINDOW
94,,,,,,,,,,,,,,,,,,,,,J5573,2243,WINDOW
95,,,,,,,,,,,,,,,,,,,,,J5576,2322,WINDOW
96,,,,,,,,,,,,,,,,,,,,,J5915,469,WINDOW
97,,,,,,,,,,,,,,,,,,,,,J5915,469,WINDOW
98,,,,,,,,,,,,,,,,,,,,,J5920,605,WINDOW
99,,,,,,,,,,,,,,,,,,,,,J5920,605,WINDOW
100,,,,,,,,,,,,,,,,,,,,,J5930,908,WINDOW
101,,,,,,,,,,,,,,,,,,,,,J5945,1364,WINDOW
102,,,,,,,,,,,,,,,,,,,,,J5960,1830,WINDOW
103,,,,,,,,,,,,,,,,,,,,,J5961,1902,WINDOW
104,,,,,,,,,,,,,,,,,,,,,J5970,2138,WINDOW
105,,,,,,,,,,,,,,,,,,,,,J5971,2176,WINDOW
106,,,,,,,,,,,,,,,,,,,,,J5976,2322,WINDOW
107,,,,,,,,,,,,,,,,,,,,,J6015,470,WINDOW
108,,,,,,,,,,,,,,,,,,,,,J6015,470,WINDOW
109,,,,,,,,,,,,,,,,,,,,,J6020,606,WINDOW
110,,,,,,,,,,,,,,,,,,,,,J6020,606,WINDOW
111,,,,,,,,,,,,,,,,,,,,,J6025,757,WINDOW
112,,,,,,,,,,,,,,,,,,,,,J6025,757,WINDOW
113,,,,,,,,,,,,,,,,,,,,,J6030,909,WINDOW
114,,,,,,,,,,,,,,,,,,,,,J6045,1365,WINDOW
115,,,,,,,,,,,,,,,,,,,,,J6050,1515,WINDOW
116,,,,,,,,,,,,,,,,,,,,,J6060,1831,WINDOW
117,,,,,,,,,,,,,,,,,,,,,J6066,2001,WINDOW
118,,,,,,,,,,,,,,,,,,,,,J6066,2010,WINDOW
119,,,,,,,,,,,,,,,,,,,,,J6073,2243,WINDOW
120,,,,,,,,,,,,,,,,,,,,,J6083,2518,WINDOW
121,,,,,,,,,,,,,,,,,,,,,J6545,1365,WINDOW
122,,,,,,,,,,,,,,,,,,,,,J6560,1831,WINDOW
123,,,,,,,,,,,,,,,,,,,,,J6561,1902,WINDOW
124,,,,,,,,,,,,,,,,,,,,,J8360,1830,WINDOW
125,,,,,,,,,,,,,,,,,,,,,J8361,1902,WINDOW
126,,,,,,,,,,,,,,,,,,,,,J8370,2138,WINDOW
127,,,,,,,,,,,,,,,,,,,,,J8371,2176,WINDOW
128,,,,,,,,,,,,,,,,,,,,,J8376,2322,WINDOW
129,,,,,,,,,,,,,,,,,,,,,J8550,1515,WINDOW
130,,,,,,,,,,,,,,,,,,,,,J8560,1831,WINDOW
131,,,,,,,,,,,,,,,,,,,,,J8615T,469,WINDOW
132,,,,,,,,,,,,,,,,,,,,,J8615T,469,WINDOW
133,,,,,,,,,,,,,,,,,,,,,J8630T,908,WINDOW
134,,,,,,,,,,,,,,,,,,,,,J8660T,1830,WINDOW
135,,,,,,,,,,,,,,,,,,,,,J8661T,1902,WINDOW
136,,,,,,,,,,,,,,,,,,,,,J8670T,2138,WINDOW
137,,,,,,,,,,,,,,,,,,,,,J8671T,2176,WINDOW
138,,,,,,,,,,,,,,,,,,,,,J8676T,2322,WINDOW
139,,,,,,,,,,,,,,,,,,,,,J8645,1364,WINDOW
140,,,,,,,,,,,,,,,,,,,,,J8650,1514,WINDOW
141,,,,,,,,,,,,,,,,,,,,,J8660,1830,WINDOW
